Age,Age13,Age6,Asian_link,Bible,Big_govt_scale,Black_link,Campaign_info_sources,Caucus_Dem_state,Caucus_Rep_state,Caucus_primary_state_type,Child_authority,Climate_scale,Clinton_Sanders,Clinton_vote,Clinton_vote_100,Community_issue,Community_volunteer,Community_work,Contact_party,Discrim_scale,Econ_pessimism,Education,F_scale,Female,Female_role,Free_trade,GOTV,Gay_laws_scale,HR_vote_party,Hispanic_link,Income,Kids,ME_Isis,ME_refugees,Married,Misogyny,Misogyny4,ObamaCare,Obama_2012,Org_num,Pol_interest_scale,Primary_party,Race2,Race3,Race_all,Relig_attend,Relig_imp,Sexism_trad,Spend_Child,Spend_Crime,Spend_Enviro,Spend_Poor,Spend_Scale,Spend_Schools,Spend_SciTech,Spend_SocSec,Spend_Welfare,Ticket_splitter,Trump_vote_100,Trump_OtherRep,case_id,V160101,V160101f,V160101w,V160102,V160102f,V160102w,V160201,V160201f,V160201w,V160202,V160202f,V160202w,interview_mode,V160502,V161001,V161002,Female_bond,Voted_2012,Voted_2016,Voter_type,Voter_type_primary_caucus,Who_2012,Who_2016,Who_2016_full,abortion,affirm_act3,assist_blacks,better_worse_future_R,better_worse_future_econ,better_worse_past_R,better_worse_past_R_2,better_worse_past_econ,better_worse_past_econ_2,climate_1,climate_2,cong_approve,cong_incumb_approve,defense_spend,educ4,egalit_3,egalitarianism,envir_jobs,fracking,ft_Asians,ft_BClinton,ft_BLM,ft_Blacks,ft_Business,ft_Christians,ft_Congress,ft_Conservatives,ft_Dem,ft_Feminists,ft_Fund,ft_Gays,ft_HClinton_post,ft_HClinton_pre,ft_Hispanics,ft_Illegals,ft_Jews,ft_Kane,ft_Liberals,ft_Muslims,ft_Muslims_5,ft_Obama,ft_Pence,ft_Police,ft_Poor,ft_Rep,ft_Rich,ft_SCOTUS,ft_Scientists,ft_Tea,ft_Trans,ft_Trump_post,ft_Trump_pre,ft_Unions,ft_Whites,ft_Illegals_5,gay_adopt,gay_job_discrim,gay_marriage,gay_wed_serve,grass,gun_control2,gun_imp,gun_own,immig_birthright,immig_chldrn,immig_chldrn_rec,immig_scale,immig_scale_4,immig_wall,income3,income4,income5,income7,income_gap,income_gap_action,intl_force,isolationism,jobs_stndLiving,libcon10,libcon3,libcon7,libcon7_Dem,libcon7_Rep,marital,nativism,nativism2,nativism4,nesw,nesw_rnd,partyid3,partyid7,pol_interest,political_trust,polknow,polknow2,pres_econ,pres_foreign,pres_hlth,pres_job,primary_voter,primary_who,racial_resent_scale,racial_resent_scale_4,region,sex_orient,sex_orient_fmfrnd,social_trust,spend8,spend_serv,torture,trans_bathroom,rid_rotten_apples,need_strong_leader,version,voting_duty,voting_duty2,white_black_4,whites_minus_blacks,wordsum,ft_Police_q3,ft_Police_q4,pid_dum1,pid_dum2,pid_dum3,gay_wed_require
24,2,1,,1,0,,4,0,0,1,3,2,,0,0,2,2,2,0,15,3,12,5,0,4,1,1,2,1,,16,0,3,4,0,7,2,2,,1,5,,1,1,1,0,0,9,1,2,2,2,5,1,1,1,3,1,100,,300437,.6244,.6706,0,.5673,.6243,0,110,10,0,1,1,0,1,1,1,1,2,0,1,3,,,2,2,4,2,5,3,3,2,1,3,2,2,2,3,4,3,2,3,13,2,2,60,60,50,60,30,60,30,50,60,60,40,60,50,60,60,15,50,40,60,50,3,70,60,85,50,50,50,50,70,60,50,60,50,70,60,1,1,1,1,3,1,1,2,0,4,4,5,12,3,6,2,3,3,4,1,1,2,1,5,5,1,3,2,6,6,8,2,3,.5673,1,1,2,3,3,2,0,2,3,2,2,0,,8,2,2,1,2,4,4,5,3,2,3,4,"ANES2016TimeSeries_20170403",7,2,2,0,6,2,2,1,0,0,0
72,12,6,,0,3,,3,0,0,1,0,4,1,1,100,1,2,1,0,21,4,,0,0,6,1,2,0,,,20,1,6,4,1,1,1,1,1,0,11,1,1,1,1,0,0,15,1,2,1,1,2,1,1,2,1,,0,,401736,.6845,0,.6628,.6896,0,.6778,68,0,68,2,0,2,2,1,,,4,1,1,1,1,1,1,1,4,2,1,3,3,3,2,2,1,3,3,4,1,4,,3,15,1,3,85,85,100,85,60,50,30,40,80,100,0,95,85,90,85,70,50,75,85,50,3,97,2,85,85,20,50,50,100,0,70,0,0,70,50,4,1,1,1,1,1,1,1,0,7,6,7,18,4,7,2,3,4,5,1,1,4,2,1,1,1,2,4,7,1,3,1,1,.6896,1,1,1,8,4,5,1,1,1,1,1,1,1,0,1,4,1,1,4,6,5,3,2,1,1,"ANES2016TimeSeries_20170403",5,2,1,-35,10,2,2,1,0,0,1
47,7,3,,0,3,,5,1,1,4,2,4,,1,100,2,2,2,1,22,3,13,0,1,6,1,1,0,1,,26,1,7,1,1,0,1,1,1,1,12,,1,1,1,0,0,16,1,3,1,1,2,1,1,1,1,0,0,,405599,.4011,0,.3882,.409,0,.4004,100,0,100,1,0,1,2,1,,,4,1,1,2,,1,1,1,4,1,3,3,2,2,1,1,1,3,3,4,5,4,3,3,16,1,3,100,100,92,100,0,86,0,16,91,100,0,100,100,100,100,86,100,100,100,85,5,100,0,85,71,0,70,71,100,0,100,0,0,100,41,5,1,1,1,1,1,1,1,1,7,6,7,18,4,7,3,4,5,7,1,1,3,2,2,1,1,2,3,7,1,0,1,1,.409,0,1,1,8,2,4,1,1,1,1,1,0,,0,1,4,1,1,4,7,6,3,2,1,1,"ANES2016TimeSeries_20170403",1,1,1,-59,10,2,2,1,0,0,1
62,10,5,,1,3,1,1,0,0,1,3,3,2,1,100,1,1,1,1,,4,11,4,0,4,1,1,,1,,13,,1,2,1,11,4,2,1,1,11,1,2,2,2,1,3,5,1,1,1,1,2,1,1,1,3,0,0,,301678,.6646,.714,0,.6648,.6519,0,116,16,0,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,3,2,3,2,3,2,2,3,4,1,5,2,3,15,1,1,,60,100,,40,100,30,70,70,85,70,70,70,85,,,70,50,100,70,4,100,50,60,100,0,85,40,85,70,60,0,0,100,,,,1,1,4,1,1,1,0,6,6,7,17,4,7,2,2,2,3,1,1,4,2,2,4,1,3,2,6,1,5,1,1,.6648,1,2,3,7,2,5,1,1,1,1,1,1,2,3,1,3,1,2,2,7,6,3,1,2,4,"ANES2016TimeSeries_20170403",7,2,,,6,1,1,0,1,0,0
45,7,3,,0,3,,5,0,0,1,,3,,,,2,2,2,0,15,2,,1,0,5,3,2,0,,,24,1,2,2,0,8,3,1,1,1,6,,,,6,0,0,8,1,1,1,1,0,1,1,1,1,,,,300113,.9644,1.0356,0,.9977,1.0605,0,118,18,0,1,1,0,1,1,1,1,3,1,0,,,1,,,4,1,3,1,2,3,2,2,1,2,3,3,,,,3,14,1,2,5,100,50,60,15,30,40,30,70,50,15,,40,60,60,50,50,,70,,,85,,30,60,40,30,60,70,30,50,30,40,70,50,3,1,1,1,1,1,1,2,1,1,6,7,9,2,4,3,4,4,6,1,1,,2,2,1,1,2,2,6,4,,,,.9977,1,1,1,5,2,2,0,1,2,1,1,0,,2,1,3,1,1,2,8,6,3,,2,1,"ANES2016TimeSeries_20170403",1,1,1,-10,3,1,1,1,0,0,1
45,7,3,,0,1,,1,0,0,1,1,4,2,,,2,2,2,0,25,3,13,0,0,4,3,1,0,1,,15,1,7,2,0,7,2,4,,0,10,1,1,1,1,0,0,9,2,2,1,2,6,1,1,2,3,,,,404528,.467,0,.4567,.4635,0,.4531,64,0,64,2,0,2,2,1,,,2,0,1,,1,,,3,4,2,4,3,3,2,1,3,2,3,3,4,2,1,3,2,11,2,3,71,41,70,71,5,71,2,0,30,70,0,70,3,31,71,51,70,50,85,70,4,90,1,70,70,0,40,10,85,6,100,0,2,70,70,4,1,1,1,1,1,1,3,0,6,6,7,17,4,7,2,2,3,4,1,1,4,2,3,5,1,3,2,6,4,6,1,2,.4635,0,2,3,7,2,5,1,2,1,2,1,1,2,1,1,2,3,2,2,3,3,3,2,1,1,"ANES2016TimeSeries_20170403",2,1,1,-1,9,1,2,0,1,0,1
29,3,1,,2,3,2,3,0,0,1,4,1,1,1,100,2,2,2,0,13,3,9,7,1,8,1,1,10,1,,7,1,4,5,0,11,4,4,1,0,6,1,2,2,2,5,3,5,1,2,1,1,3,1,2,1,2,0,0,,301467,.447,.4802,0,.4336,.4844,0,116,16,0,2,2,0,1,1,1,2,4,1,1,1,1,1,1,1,4,2,2,3,1,2,1,3,2,1,2,1,1,4,1,2,10,3,2,100,85,70,100,85,100,70,40,85,40,85,50,60,85,100,50,70,70,40,70,4,85,,70,70,70,70,70,60,60,50,50,50,70,100,3,4,4,4,2,3,2,2,1,4,6,7,12,3,4,1,1,1,2,1,3,3,2,2,8,1,2,2,2,6,12,2,4,.4336,0,2,3,4,4,1,0,1,,1,1,1,1,12,3,3,1,1,3,5,,3,1,5,4,"ANES2016TimeSeries_20170403",4,,2,0,3,1,2,0,1,0,1
68,11,5,,0,3,,5,0,0,1,1,4,1,1,100,1,2,1,0,16,3,14,0,1,4,1,2,0,1,,26,1,4,1,1,1,1,1,1,3,10,1,1,1,1,5,3,15,1,1,1,1,0,1,1,1,1,0,0,,402391,.7259,0,.7096,.7235,0,.7147,96,0,96,1,0,1,2,1,,,4,1,1,1,1,1,1,1,4,2,2,3,3,2,1,2,1,3,3,4,1,6,4,3,16,1,3,50,90,72,51,89,90,12,6,72,89,22,89,85,85,50,50,93,88,90,91,5,94,50,91,81,33,79,35,89,1,90,1,2,76,51,3,1,1,1,1,1,1,1,0,7,6,7,18,4,7,3,4,5,7,1,1,3,2,2,1,1,2,3,6,1,5,1,1,.7235,1,1,1,7,2,4,1,1,1,1,1,1,1,0,1,1,1,2,4,8,6,3,2,1,1,"ANES2016TimeSeries_20170403",1,1,2,0,10,3,3,1,0,0,1
40,6,3,,2,1,,3,0,0,1,2,4,,1,100,1,1,1,1,20,3,,4,1,6,1,1,5.5,1,,5,0,6,7,0,6,2,1,1,3,11,,1,1,1,1,2,10,3,1,1,2,5,1,1,1,3,0,0,,407198,.4455,0,.4355,.4217,0,.4112,99,0,99,2,0,2,2,1,,,4,1,1,2,,1,1,1,4,3,6,2,3,3,2,1,1,3,3,4,4,5,,2,11,1,3,60,83,10,60,10,50,0,40,77,50,10,70,95,95,60,0,50,69,70,50,3,92,24,100,50,7,50,60,100,30,70,0,0,50,60,1,1,2,2.5,4,1,1,1,0,1,1,1,6,1,7,1,1,1,2,1,1,3,1,5,2,1,3,3,7,6,11,2,4,.4217,0,1,1,8,2,4,1,1,1,1,1,0,,15,4,3,1,1,3,5,4,3,2,5,1,"ANES2016TimeSeries_20170403",2,1,2,0,7,3,4,1,0,0,0
31,4,2,,0,2,2,2,0,0,1,2,4,,,,1,2,1,0,11,3,13,7,0,6,1,1,0,,,7,1,7,4,0,8,3,4,,0,2,,2,2,2,0,0,8,2,1,1,1,2,1,1,1,2,,,,301333,.5245,.5607,0,.4579,.5116,0,133,33,0,1,1,0,1,1,1,1,2,0,0,,,,,,4,1,6,1,5,4,3,5,3,3,3,4,4,5,3,2,9,1,3,85,15,0,85,15,0,0,50,15,85,0,100,0,15,100,100,0,,70,0,1,15,,85,100,15,15,0,85,0,100,0,15,100,70,5,1,1,1,1,1,1,1,0,4,6,7,12,3,4,1,1,1,2,1,1,3,2,6,,1,3,2,5,6,5,1,1,.4579,0,2,4,1,1,2,0,3,4,3,3,0,,9,2,4,1,2,2,6,7,2,1,4,5,"ANES2016TimeSeries_20170403",4,,1,-15,4,2,2,0,1,0,1
